sentence,ingredients
我冰箱裡還有茄子、白酒、肉末,"['茄子', '白酒', '肉末']"
红萝卜、蛋豆腐、胡椒粉、紅蘿蔔是我剩下的食材,"['红萝卜', '蛋豆腐', '胡椒粉', '紅蘿蔔']"
番茄糊、韓國魚板片還能怎麼料理？,"['番茄糊', '韓國魚板片']"
蠔油、雞蛋還能怎麼料理？,"['蠔油', '雞蛋']"
培根、老薑片是我剩下的食材,"['培根', '老薑片']"
家裡冰箱剩下檸檬汁、涼拌小黃瓜，該怎麼辦,"['檸檬汁', '涼拌小黃瓜']"
鬆餅粉、青蔥、帶肉牛筋、花生是我剩下的食材,"['鬆餅粉', '青蔥', '帶肉牛筋', '花生']"
"只剩下義大利香料、培根、五花肉, 有什麼建議？","['義大利香料', '培根', '五花肉']"
家裡冰箱剩下乾小干貝、番茄糊，該怎麼辦,"['乾小干貝', '番茄糊']"
"我不想浪費蛋豆腐、去骨雞腿排, 能推薦一下嗎？","['蛋豆腐', '去骨雞腿排']"
幫我用焗烤起司絲、牛肋條出個菜單,"['焗烤起司絲', '牛肋條']"
蔥、馬鈴薯、鹹蛋是我剩下的食材,"['蔥', '馬鈴薯', '鹹蛋']"
能不能幫我看看蔥結、乾香菇、帶肉牛筋能煮什麼？,"['蔥結', '乾香菇', '帶肉牛筋']"
希臘式無糖優格、鸿喜菇、肉末、茄子還能怎麼料理？,"['希臘式無糖優格', '鸿喜菇', '肉末', '茄子']"
"只剩下起士、芹菜梗, 有什麼建議？","['起士', '芹菜梗']"
能不能幫我看看高湯、清酒or米酒、五花肉能煮什麼？,"['高湯', '清酒or米酒', '五花肉']"
家裡冰箱剩下白醋、牛頭牌原味高湯-雞肉風味，該怎麼辦,"['白醋', '牛頭牌原味高湯-雞肉風味']"
今天晚餐我想用蛋、日式醬油、香菇來做點東西,"['蛋', '日式醬油', '香菇']"
幫我用切碎的韓式泡菜、白酒出個菜單,"['切碎的韓式泡菜', '白酒']"
今天晚餐我想用李錦記蠔油、白芝麻來做點東西,"['李錦記蠔油', '白芝麻']"
幫我用日式醬油、肉末、油蔥酥、韓國魚板片出個菜單,"['日式醬油', '肉末', '油蔥酥', '韓國魚板片']"
我冰箱裡還有老薑片、蛋豆腐、洋蔥，切丁,"['老薑片', '蛋豆腐', '洋蔥，切丁']"
"只剩下蒜、順眼的盤子、茄子, 有什麼建議？","['蒜', '順眼的盤子', '茄子']"
能不能幫我看看玉米醬、鬆餅粉、洋蔥能煮什麼？,"['玉米醬', '鬆餅粉', '洋蔥']"
蛋、鬆餅粉、紅蘿蔔、雞蛋還能怎麼料理？,"['蛋', '鬆餅粉', '紅蘿蔔', '雞蛋']"
"只剩下胡椒粉、薄鹽干貝醬油, 有什麼建議？","['胡椒粉', '薄鹽干貝醬油']"
剩下的只有韓國魚板片、木耳、玉米醬、糖,"['韓國魚板片', '木耳', '玉米醬', '糖']"
剩下的只有皮蛋、冷凍金針菇、木耳,"['皮蛋', '冷凍金針菇', '木耳']"
我冰箱裡還有豬里肌肉、番茄醬、洋蔥，切丁,"['豬里肌肉', '番茄醬', '洋蔥，切丁']"
去骨雞腿肉、韓國魚板片、火鍋牛肉片還能怎麼料理？,"['去骨雞腿肉', '韓國魚板片', '火鍋牛肉片']"
"只剩下八角、高湯、黑胡椒粒, 有什麼建議？","['八角', '高湯', '黑胡椒粒']"
今天晚餐我想用花生、牛頭牌原味高湯-雞肉風味、薑來做點東西,"['花生', '牛頭牌原味高湯-雞肉風味', '薑']"
韓國高湯用魚乾、水還能怎麼料理？,"['韓國高湯用魚乾', '水']"
"只剩下培根、辣椒切末, 有什麼建議？","['培根', '辣椒切末']"
幫我用紅酒、醬油出個菜單,"['紅酒', '醬油']"
我冰箱裡還有豬肉片、五花肉、鮮奶,"['豬肉片', '五花肉', '鮮奶']"
